SMILES,BCUTc-1l,LipoaffinityIndex,MDEC-23,SHsOH,ATSc2,maxHsOH,hmin,WTPT-3,minsOH,BCUTc-1h,ATSc1,maxssO,nHBAcc,XLogP,ATSc4,ATSc5,ATSc3,minHBa,TopoPSA,BCUTp-1h
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.360525428719967,11.8309492000147,28.2779319532237,0.469125571668507,-0.217040077170915,0.469125571668507,-0.436064912543642,15.4714447031245,9.96894807513101,0.185436632359743,0.460175177548723,6.59300945471691,1.0,4.666,0.161524170276465,-0.0801482064595131,-0.12645316105012,-1.33130310118423,67.23,13.2548590202849
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.360529915954453,13.1499739066196,31.0767480441416,0.449125571668507,-0.217040079210924,0.449125571668507,-0.476881239074254,15.4869471619391,10.058948075131,0.18545929010714,0.460175177477325,6.67464210777813,1.0,5.804,0.161524170225945,-0.0801481668713333,-0.126453237751225,-1.37862820406488,67.23,13.6176089578304
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,-0.361379117081142,10.577177295995,30.9010635919051,0.997246760389314,-0.236030859506515,0.516533808398307,-0.401857146103732,18.0111135322985,9.75288615963683,0.116954448381542,0.519349554843324,6.50275080959219,1.0,2.964,0.175158660067214,-0.059065039302584,-0.143125821439677,-1.60835378565555,87.46,13.3934528458774
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.360529924878524,13.2127668888098,30.5700011497603,0.456486108858589,-0.216970114598758,0.456486108858589,-0.452506239074254,15.4683653053389,10.025028463898,0.185458819233417,0.460205731376964,6.62214210777813,1.0,6.015,0.161225532834059,-0.0797429467195648,-0.126503941171241,-1.35087404684644,67.23,13.0795473458107
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.360530120979038,12.48969071493,30.5700011497603,0.473631314067242,-0.215098686255004,0.473631314067242,-0.414507018552712,15.4683653053389,9.99334222014745,0.185458540696614,0.462912361615761,6.55281033340172,1.0,4.462,0.152869109862129,-0.0696644001307345,-0.128689926967005,-1.44968923959021,67.23,13.0434535766704
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,-0.360531017878162,10.8927217662921,28.2779319532237,0.485712951991006,-0.262443298781854,0.485712951991006,-0.391653064471079,18.4979180836405,9.96417467503023,0.185464099967959,0.543310039093346,6.51460242523845,2.0,2.188,0.197172964477134,-0.102734253663542,-0.128253194978888,-1.53616935632826,80.12,13.3223589899047
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,-0.361388837203604,12.6138141871152,37.8037194278054,0.945717240342265,-0.163942635344314,0.500353725253939,-0.265019681196629,11.5989668426817,9.82341649368402,0.111205842244146,0.357212025456556,6.1778218018153,1.0,4.28,0.145315996113048,-0.0482178157780715,-0.0954161248682095,2.50541908754394,52.93,13.8053673812359
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,-0.36053871481542,10.0239128645582,26.1030647521474,0.499931701991006,-0.263507189958039,0.499931701991006,-0.356551023654753,18.5181727877303,9.91073717503023,0.185467201909419,0.589472187836879,6.4443983436058,1.0,2.993,0.149820082449121,0.025660177569655,-0.168884895756684,-1.56459013822126,80.37,12.8063597398236
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,-0.361388832289706,9.24320400238036,33.3082377091945,1.01235221923939,-0.0346632213863618,0.531414483033801,0.152922453703703,5.08180462715562,9.65574937384912,0.110841456430298,0.116472932811902,0.0,0.0,4.378,-0.0018170040922581,0.012569760977908,-0.0263640578167421,9.65574937384912,40.46,13.6929629835625
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,-0.361669816349034,6.10009361878247,34.1117722005128,1.04435414037822,-0.073807521978579,0.545399822539974,-0.0252310484378937,10.3255646435591,9.62584968249109,0.187353485430893,0.375417664506655,0.0,2.0,1.723,-0.122994998663191,0.137220959229936,-0.0715840123574145,9.62584968249109,74.6,14.0115217470827
