SMILES,BCUTc-1l,LipoaffinityIndex,MDEC-23,SHsOH,ATSc2,maxHsOH,hmin,WTPT-3,minsOH,BCUTc-1h,ATSc1,maxssO,nHBAcc,XLogP,ATSc4,ATSc5,ATSc3,minHBa,TopoPSA,BCUTp-1h,PIC50,ADMET
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,-0.361388832289706,9.24320400238036,33.3082377091945,1.01235221923939,-0.0346632213863618,0.531414483033801,0.152922453703703,5.08180462715562,9.65574937384912,0.110841456430298,0.116472932811902,0.0,0.0,4.378,-0.0018170040922581,0.012569760977908,-0.0263640578167421,9.65574937384912,40.46,13.6929629835625,8.36653154442041,3
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,-0.361669816349034,6.10009361878247,34.1117722005128,1.04435414037822,-0.073807521978579,0.545399822539974,-0.0252310484378937,10.3255646435591,9.62584968249109,0.187353485430893,0.375417664506655,0.0,2.0,1.723,-0.122994998663191,0.137220959229936,-0.0715840123574145,9.62584968249109,74.6,14.0115217470827,7.04095860767891,3
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,-0.36137875476808,9.17848901654488,33.197541352771,0.954069349962207,-0.0348071457981482,0.480937736205593,0.155381944444444,5.08867857028074,9.93287530444276,0.110843655445793,0.116439211406854,0.0,0.0,4.378,-0.0012119312997743,0.0216502661568423,-0.0268895001626473,9.93287530444276,40.46,13.7076574458184,7.45593195564972,4
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,-0.360523316571139,11.6538809480274,18.6191408727674,0.478191929693198,-0.21710645328911,0.478191929693198,-0.420509356988086,15.397348003058,9.90641264429201,0.185424882691316,0.460148141953596,6.50710667693913,1.0,4.263,0.161800579105278,-0.0805483141267645,-0.12639973430525,-1.40088643451756,67.23,13.3516086189674,7.95860731484177,3
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,-0.360523410323344,11.5687537699995,22.6986935184942,0.484750571668507,-0.21697011362905,0.484750571668507,-0.396064912543641,15.4251000976188,9.88549270224112,0.185423547093493,0.460205731448375,6.48148167693913,1.0,4.648,0.161225598005523,-0.079742985947744,-0.126503928410386,-1.32616421229534,67.23,12.7228598126983,8.52287874528034,3
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,-0.36052112363712,10.9248953124405,20.5076762396815,0.493816929693198,-0.217039208290436,0.493816929693198,-0.380509356988086,15.3952492602273,9.8422119640199,0.185412865065259,0.460175330812624,6.4418983436058,1.0,3.868,0.16152122591362,-0.0801685056297412,-0.12644855752211,-1.32565495303608,67.23,12.7228595816119,8.15490195998574,3
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,-0.361659257005747,6.06325294795078,33.7999108969698,0.990102513227513,-0.0738956866328391,0.498954317838246,-0.0260508786848072,10.3322813051319,9.89482258335433,0.187369626714136,0.375390045743025,0.0,2.0,1.723,-0.118521264843656,0.157060938050507,-0.0715022291922154,9.89482258335433,74.6,14.0262248794124,6.43651891460559,3
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-0.391983434048946,7.62787505048238,23.1781462753493,0.756822011211892,-0.0433522181576011,0.499770093222474,0.0617644557823128,5.0930165084008,9.67718671264802,0.0849255848464294,0.132269931313037,0.0,1.0,3.472,0.005731973847931,0.007936967223582,-0.0250234428781001,9.67718671264802,40.46,11.4216544918843,8.88605664769316,3
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,-0.360520985496622,11.2070661327095,21.6994162287011,0.567718035821411,-0.5112789588659,0.567718035821411,-0.0203542569843978,27.4460220376109,9.47951496648267,0.210918284687556,0.563048286694324,0.0,7.0,1.581,-0.4276936318647828,0.314348935308987,0.2766708942607968,0.914151349136538,89.44,9.89687329694656,6.95860731484177,3
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,-0.360521348897785,11.2569683420276,21.6994162287011,0.571529764216473,-0.523379928475092,0.571529764216473,-0.0077535019594002,27.4460220376109,9.46287916401353,0.210910595752802,0.6010626218635,0.0,7.0,1.12,-0.4276936318647828,0.3180881182266,0.2766708942607968,2.04370271398274,89.44,9.89484369769159,6.61978875828839,3
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,-0.344497991228574,13.446862350957,29.4478059469952,0.0,-0.14000252591956,0.0,-0.130585669165891,6.02871600006107,0.0,0.0761179274658779,0.246040826344502,5.87098820026173,1.0,6.342,0.134300266447517,-0.0798024237368307,-0.0517990411205561,2.12301616756793,12.47,12.8652930832195,6.30102999566398,4
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,-0.361354245898473,3.861341680993,19.2885620597377,1.24188535888414,-0.113334107432997,0.623108389476084,0.0505272108843535,10.7922384071536,9.24583311708266,0.198066338967147,0.362681136546785,5.36659320672713,1.0,1.124,-0.141947136882844,0.174900404780061,-0.026312886785403,5.36659320672713,66.76,10.2000289429214,5.20065945054642,3
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,-0.361087240367754,2.237497303162,14.6307731533608,1.63077302217183,-0.0982766455626203,0.586808468757873,0.216666666666666,12.8437453988683,9.45736048122952,0.199703264955639,0.42587835103411,0.0,2.0,0.517,-0.118534021664726,-0.182944515559181,0.03158243993535,9.45736048122952,94.83,10.294973865957,5.56863623584101,3
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,-0.36137640837659,2.66940959477618,18.3343980122884,1.19830829554043,-0.105527175732205,0.599154147770219,0.260175736961451,10.2834781650646,9.38084299151759,0.195890507660846,0.360029867030639,0.0,2.0,0.206,0.0452295340685153,-0.236381975088867,7.41523336208072e-05,9.38084299151759,74.6,10.0660211282857,5.95860731484177,3
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,-0.360454110270751,8.56281271376996,23.6913194409839,0.501404874736855,-0.0745773883302173,0.501404874736855,-0.144541288737717,9.19312502711357,9.79550627968512,0.116083248853736,0.148127380747295,0.0,1.0,2.497,0.0596724588328913,-0.0084747425357611,-0.0297324231002632,-0.993342834047199,51.7099999999999,13.2201944745205,7.30102999566398,3
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccccc3,-0.360464485585099,8.47465403238378,20.1624409577112,0.545583545918367,-0.288206538826604,0.545583545918367,0.18548185941043,15.6517751360289,9.5888566074578,0.4629243956298594,0.584414734484877,0.0,2.0,1.687,0.307097492730372,-0.0877287482358556,-0.192339888410503,0.855867346938775,40.54,11.8312885304312,6.62893213772826,3
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3cccs3,-0.360461301356542,6.67121132848587,17.1799550479182,0.546862481103552,-0.29091463293731,0.546862481103552,0.167542044595616,18.6890712024083,9.56997929264298,0.4629243956298594,0.595499890445639,0.0,2.0,1.367,0.341851822284177,-0.120120535255568,-0.205358895761836,-1.48521145649617,68.78,12.6316010959209,6.4145392704915,3
CCC(=C(c1ccc(O)cc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,-0.360537090652779,12.2948020385722,31.3111194129193,0.51747392844041,-0.157498047188521,0.51747392844041,-0.130585669165891,8.55590037867098,9.74362436715906,0.0771176560846712,0.301181418421826,5.85366037657028,1.0,5.206,0.133272903383247,-0.0812811052187463,-0.0612589057099083,2.1045803908904,32.7,12.8946994518734,7.76955107862173,3
CCC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,-0.360799881156596,5.58882343957132,17.2751332412059,1.05687911570352,-0.127617303796405,0.535939132941973,-0.225686885865457,13.9073201526392,9.72936371939348,0.10830214855112,0.358720107556259,6.04568901171579,1.0,2.746,0.0595633377768714,0.0111892453705462,-0.144229884843038,6.04568901171579,62.05,11.0549721436957,6.74472749489669,3
Oc1ccc2C3=Nc4ccc(O)cc4OC3CCc2c1,-0.361348606213805,4.52164896617713,21.2333249223053,1.1411126122855,-0.125840534277768,0.584586209770869,-0.164333900226757,11.5097832637596,9.51633812464124,0.192221785979185,0.339396335628044,5.95048209561602,1.0,1.19,0.037878584740315,0.045497381195319,-0.127719967466853,5.95048209561602,62.05,10.4006863177087,5.22184874961636,3
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,-0.360734337943681,7.13343879843526,23.1781462753493,0.504336208924953,-0.0442158892269089,0.504336208924953,0.0738109410430838,5.0930165084008,9.66558891650477,0.138958639463167,0.175470317667882,0.0,1.0,2.865,0.0009193035458432,0.0080365301647787,-0.0393483250588228,9.66558891650477,37.3,11.4030739757378,6.67778070526608,3
CC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,-0.360799399615526,5.10248559601028,14.6019210054034,1.08484979471586,-0.127265316250035,0.551564132941973,-0.163186885865457,13.8333296166721,9.65665963776082,0.165802190194962,0.358974115531145,5.89638345616024,1.0,2.388,0.0599831031662057,0.0121046646209074,-0.145471951270837,5.89638345616024,62.05,10.7739109876058,6.49485002168009,3
